name,reason,explanation
Boyer Street,distance from help lowered the risk; monitored-road status lowered the risk; intersection controls raised the risk,"The Corridor: Boyer Street has a relatively low risk index due to its proximity to a city center, which helps to reduce the risk of accidents. Additionally, the road is currently under controlled traffic, which also contributes to the low risk."
Glen Echo Road,distance from help lowered the risk; monitored-road status raised the risk; foot traffic lowered the risk,"The Corridor: Glen Echo Road has a low risk because it is located in an area with a lower risk of traffic accidents, and it has a moderate to low volume of vehicle traffic. The increased foot traffic and lowered help access to the area have also contributed to the lower risk."
McCallum Street,distance from help lowered the risk; foot traffic lowered the risk; vehicle traffic volume lowered the risk,"The Corridor McCallum Street scored low on the risk index because it has a relatively low amount of foot traffic due to its location, and because the area has lower vehicle traffic volume compared to other areas. The lower risk score is due to the reduced presence of help services and emergency responders in the area."
Burnham Road,foot traffic lowered the risk; monitored-road status raised the risk; street lighting density lowered the risk,"Here are two plain sentences:

The Corridor Burnham Road received a risk score of 40 out of 100 due to moderate foot traffic and street lighting density, which generally lowered the risk of accidents. The corridor's variable monitored-road status added to the risk, indicating some areas of congestion and potential hazards."
Arbutus Street Burnham Road,intersection controls lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"The Corridor Arbutus Street Burnham Road scored a low risk index of 5 out of 100 because the intersection controls and monitored-road status had a significant impact on reducing the risk of accidents, while street lighting density had the least effect. These factors helped to mitigate the risk by reducing the number of vehicles and pedestrians on the road, making it a safer area."
Roumfort Road,intersection controls lowered the risk; distance from help lowered the risk; foot traffic lowered the risk,"Here are two possible explanations:

The Roumfort Road corridor scored a low risk index because it has multiple lanes of traffic, which helps to reduce congestion and slow down vehicles, and because the road has been designed with a lower speed limit, which can help to reduce the risk of accidents caused by speeding. Additionally, the road has clear and well-marked intersections, which can help to reduce the risk of collisions between vehicles and pedestrians."
Thouron Avenue,distance from help lowered the risk; intersection controls lowered the risk; monitored-road status raised the risk,"Corridor Thouron Avenue scored low on the risk index because it was relatively low-risk due to the presence of a significant reduction in the risk of accidents due to the lowered distance between vehicles and intersections, and because the monitored-road status of the corridor provided an additional layer of safety. Additionally, the fact that there were no reported incidents in the area suggests that the risk of accidents occurring in the corridor is low."
East Roumfort Road,distance from help lowered the risk; intersection controls lowered the risk; monitored-road status raised the risk,"Corridor East Roumfort Road has a relatively low risk due to the presence of a lower distance from the help desk, which reduced the risk of help being needed, and the presence of intersection controls, which reduced the risk of accidents. The low foot traffic in this area also contributed to a low risk."
Vernon Road,distance from help lowered the risk; monitored-road status lowered the risk; street length lowered the risk,"Vernon Road is considered low-risk because its location has helped reduce the risk of accidents due to its proximity to help services, and its road conditions have been monitored to minimize hazards. The fact that the road is relatively short has also contributed to its low risk score."
Rugby Street,monitored-road status lowered the risk; distance from help lowered the risk; intersection controls lowered the risk,Rugby Street is considered low-risk because it has a monitored road condition that lowered the risk; its distance from help services also lowered the risk; and there are controls in place at the intersection to reduce the risk of accidents.
Gilbert Street,distance from help lowered the risk; monitored-road status lowered the risk; intersection controls raised the risk,"The Corridor Gilbert Street scored low on the risk index due to its relatively low distance from help, which significantly reduced the risk of accidents. Additionally, the road's current state, which is monitored, is also a factor in lowering the risk."
Fayette Street,distance from help lowered the risk; street lighting density raised the risk; intersection controls raised the risk,"Here are two possible plain sentences:

The Fayette Street corridor was rated low due to its reduced help response time, which lowered the overall risk, and also because the street's low lighting density, which increased the risk of accidents, but was mitigated by the presence of streetlights. The increased traffic volume and density in the intersection area, which also contributed to the overall risk, was balanced by the presence of traffic controls."
East Phil Ellena Street,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density raised the risk,"The East Phil Ellena Street corridor scored low risk due to its low distance from help stations, which reduced the risk of emergencies. Additionally, its moderate street lighting density helped to increase the risk."
Jeanes Street,monitored-road status lowered the risk; distance from help lowered the risk; intersection controls raised the risk,"Here are two plain sentences:

The Corridor Jeanes Street is considered low-risk because it has a monitored-road status and is located far from help stations, reducing the risk of accidents. Additionally, the presence of intersection controls at this intersection lowers the risk of collisions."
Parlin Street,street lighting density lowered the risk; intersection controls lowered the risk; monitored-road status raised the risk,"The corridor scored low because the street lighting was not sufficient to mitigate the risk, and there were too many intersections in the area, making it harder to control traffic flow. Additionally, the road was not monitored regularly, which increased the risk of accidents."
Parlin Street Heather Street,distance from help lowered the risk; intersection controls lowered the risk; monitored-road status lowered the risk,"Here are the rewritten sentences:

The Corridor: Parlin Street Heather Street scored a low risk due to the lowered risk factors from the intersection controls and the monitored-road status, which helped reduce the risk of accidents. Additionally, the distance from help services was also a contributing factor in reducing the risk of accidents in this corridor."
Roosevelt Expressway,intersection controls lowered the risk; foot traffic lowered the risk; street lighting density lowered the risk,"The Roosevelt Expressway corridor scored low on the risk index because the intersection controls reduced congestion and accidents, while pedestrian traffic was also lower, but street lighting density did not significantly impact the risk. Additionally, the increased foot traffic at intersections was also minimized, and this contributed to the low risk score."
Saybrook Avenue,street lighting density raised the risk; monitored-road status lowered the risk; distance from help raised the risk,"Corridor Saybrook Avenue has a moderate risk due to its relatively low street lighting density, which may make navigation more challenging at night, and its monitored-road status, which may indicate a higher level of maintenance or traffic control, potentially reducing safety. The distance from help services is also a factor, as it may indicate a longer response time to emergencies."
South 72nd Street,foot traffic lowered the risk; street lighting density lowered the risk; monitored-road status raised the risk,"The Corridor 72nd Street has a moderate risk level due to the moderate foot traffic, which prompted the reduction of the risk index. The street's low street lighting density, which was lowered, further contributed to the increased risk."
Cresco Avenue,street lighting density lowered the risk; foot traffic lowered the risk; monitored-road status raised the risk,"Here are two plain sentences:

The Corridor of Cresco Avenue has a low risk because it has street lighting that is adequate, which lowered the risk of accidents. The corridor is also safe for foot traffic, which further reduced the risk of accidents."
North Watts Street,intersection controls lowered the risk; distance from help raised the risk; monitored-road status raised the risk,"North Watts Street has a lower risk due to the intersection controls, which narrowed the path for traffic to pass through the area. However, the distance from help stations raised the risk, as drivers may have been less likely to stop or slow down in the area."
South Christopher Columbus Boulevard,street length lowered the risk; monitored-road status raised the risk; street lighting density lowered the risk,"The South Christopher Columbus Boulevard corridor scored a moderate risk because it has a lowered risk due to its street length, indicating a relatively straight route, and a higher risk due to its monitored-road status, indicating possible issues with traffic management. Additionally, its distance from help was moderate, suggesting that there may be adequate emergency services in the area."
West Abbottsford Avenue,foot traffic lowered the risk; vehicle traffic volume raised the risk; intersection controls raised the risk,"The Corridor of West Abbottsford Avenue is at risk due to high vehicle traffic volume, which increased the risk of accidents, and low foot traffic, which reduced the risk of accidents. The presence of intersection controls also raised the risk."
South 70th Street,intersection controls raised the risk; street lighting density raised the risk; monitored-road status raised the risk,"Here are two plain sentences for a non-technical official:

The Corridor 70th Street is at high risk due to a combination of factors, including high traffic volume at the intersection, inadequate street lighting, and a lack of traffic management infrastructure. This combination of factors has raised the risk to a level that warrants increased attention and community engagement."
Sheldrake Place,intersection controls lowered the risk; street lighting density lowered the risk; monitored-road status raised the risk,"The Sheldrake Place corridor has a low risk due to its controlled intersection, which resulted in lower accident rates, and a high street lighting density, which provided adequate illumination and reduced the visibility of potential hazards. Additionally, the monitored road status helped to ensure that the corridor was cleared of vehicles at all times, reducing the risk of collisions."
Lindbergh Boulevard South 70th Street,street lighting density raised the risk; monitored-road status raised the risk; intersection controls raised the risk,"Here are two plain sentences:

The high risk score on Lindbergh Boulevard South 70th Street is due to inadequate street lighting, as it made the road less safe to navigate at night. Additionally, the corridor's monitored-road status and intersection controls also contributed to the increased risk, as they failed to maximize the presence of safety measures at key points."
Lark Place,street lighting density lowered the risk; monitored-road status raised the risk; foot traffic lowered the risk,"The Corridor Lark Place scored a low risk index because it has a low level of street lighting density, which reduced visibility for drivers and pedestrians. The fact that the road is monitored also increased the risk, as it may indicate potential issues that need to be addressed."
East Champlost Avenue,distance from help lowered the risk; monitored-road status raised the risk; foot traffic raised the risk,"The Corridor East Champlost Avenue has a moderate risk due to its distance from help, as it's farther from our main emergency services. Additionally, the fact that the road is monitored raised the risk by potentially diverting traffic, which can slow down emergency responders."
A Street,distance from help lowered the risk; foot traffic lowered the risk; monitored-road status raised the risk,"The Corridor of Street scored low on the risk index due to the fact that it has a moderate amount of foot traffic, which lowers the risk. Additionally, the road is not frequently closed for maintenance, which lowers the risk."
A Street East Spencer Avenue,monitored-road status raised the risk; street lighting density lowered the risk; foot traffic lowered the risk,This corridor scored as it did because monitored-road status raised the risk; street lighting density lowered the risk; foot traffic lowered the risk.
North Park Street,intersection controls lowered the risk; street lighting density raised the risk; foot traffic lowered the risk,"Here are two plain sentences for a non-technical official:

The North Park Street corridor scored this way because the intersection of the street controlled the flow of traffic, which reduced the risk of accidents. The street's low lighting density made it difficult for drivers to see pedestrians, increasing the risk of accidents."
East Passyunk Avenue,intersection controls raised the risk; monitored-road status raised the risk; street length lowered the risk,"The East Passyunk Avenue corridor has a moderate risk due to the raised intersection controls, which significantly lowered the risk, and the fact that it is a relatively short street, which reduced the overall risk. The fact that it is currently monitored also had a positive effect on the risk, as it indicates the corridor is being actively monitored for safety and improvement."
South Sheridan Street Queen Street,monitored-road status raised the risk; intersection controls lowered the risk; distance from help raised the risk,"The Corridor of South Sheridan Street to Queen Street has a moderate risk level due to moderate intersection controls in place, which helped to reduce the risk, and an elevated road status near the intersection, which raised the risk. Overall, the combination of these factors contributed to a higher risk score."
Queen Street,monitored-road status raised the risk; foot traffic lowered the risk; distance from help raised the risk,"Corridor Queen Street has a moderate risk of crime due to the high number of people walking in the area, which raised the risk of crime. A moderate distance from the police station also contributed to the increased risk of crime."
South 6th Street,street lighting density raised the risk; intersection controls raised the risk; monitored-road status raised the risk,"The Corridor 6th Street has a high risk due to poor street lighting, which reduced visibility and made it difficult to navigate, and also because of the raised intersection controls, which narrowed the road and increased the number of intersections, making it harder to cross. Additionally, the monitored-road status, which included closing parts of the street due to maintenance, further reduced visibility and made it more hazardous to travel through."
South 27th Street,street lighting density raised the risk; monitored-road status raised the risk; foot traffic raised the risk,"Here are two possible explanations:

The 88 out of 100 risk index on South 27th Street is due to high crime rates and poor street lighting, which raised the risk of crime. Additionally, the street was recently closed due to road repairs, which may have reduced visibility and created a hazardous situation for drivers."
North 30th Street,street lighting density raised the risk; intersection controls raised the risk; monitored-road status lowered the risk,"This corridor scored high on the risk index because on North 30th Street, there are few streetlights and the intersections are poorly managed, contributing to a lack of safety. Additionally, the length of the street makes it difficult to control pedestrian and vehicle traffic flow, increasing the risk of accidents."
Page Street,street lighting density raised the risk; intersection controls lowered the risk; monitored-road status lowered the risk,"Here are the rewritten sentences:

The Corridor: Page Street scored a low risk index due to a controlled intersection, which helped to slow down traffic and reduce congestion. Additionally, the increased street lighting density also played a role in reducing the risk of accidents by illuminating the road and making it safer to navigate."
North Newkirk Street,monitored-road status lowered the risk; street lighting density raised the risk; intersection controls raised the risk,"North Newkirk Street has a moderate risk due to the fact that it has a lower-than-average number of monitored road users, which lowered its risk. Additionally, the street's lower street lighting density contributed to the increased risk."
Academy Road,intersection controls lowered the risk; distance from help lowered the risk; street lighting density lowered the risk,"The Corridor: Academy Road has a low risk score because it has a lower intersection point, which reduced the chances of accidents, and it has a lower distance to nearby emergency services, making it easier to respond to emergencies. Additionally, its lower foot traffic in this area suggests that the corridor is likely to be well-maintained and safe."
Torresdale Avenue,distance from help lowered the risk; monitored-road status raised the risk; foot traffic raised the risk,"The Corridor of Torresdale Avenue scored a moderate risk because it is located below the help point and has a moderate foot traffic density. This has lowered its risk due to the presence of help points, but also raised its risk due to its high foot traffic."
Sharp Street,monitored-road status lowered the risk; street length lowered the risk; street lighting density raised the risk,"Sharp Street has a low risk due to its well-monitored road status, which has helped to reduce the risk of accidents. The street's relatively short length also contributed to a lower risk, as it does not have to travel through a lot of heavy traffic."
West Salaignac Street,intersection controls raised the risk; monitored-road status lowered the risk; street length raised the risk,"The Corridor of West Salaignac Street has a moderate risk due to the presence of a monitored road that has lowered the risk, but the presence of an intersection control has raised it. The short length of the corridor does not contribute to the overall risk."
North 66th Street,monitored-road status lowered the risk; distance from help raised the risk; intersection controls raised the risk,"The Corridor 66th Street is scored a moderate risk due to its high monitored-road status, which lowered the risk. The proximity to help services increased the risk as it reduced the likelihood of emergency vehicles being able to respond quickly."
West Girard Avenue,intersection controls raised the risk; street lighting density raised the risk; street length raised the risk,"Here are two plain sentences:

The high-risk corridor is due to two factors: the raised intersection controls at the northern end of the corridor and the limited street lighting around the southern end. Additionally, the longer length of the corridor contributed to the increased risk by reducing visibility and making it more difficult to navigate."
North 59th Street,street lighting density raised the risk; monitored-road status lowered the risk; intersection controls lowered the risk,"The North 59th Street corridor scored low on risk because it is a monitored-road status, which lowered the risk. Additionally, it has a high level of street lighting, which raised the risk."
Woodcrest Avenue,intersection controls lowered the risk; monitored-road status lowered the risk; distance from help lowered the risk,"The Woodcrest Avenue corridor scored low on its risk index because intersections in the area had been controlled, which helped to reduce the risk of accidents. Additionally, the road was fully monitored, which further decreased the risk of accidents occurring."
North Simpson Street,distance from help raised the risk; monitored-road status lowered the risk; intersection controls lowered the risk,"North Simpson Street in a low-risk corridor has a lower risk due to the presence of a monitored road, which reduced the risk, and because it is located farther from help stations, which increased the risk."
North 61st Street,street lighting density raised the risk; distance from help raised the risk; intersection controls raised the risk,"The Corridor 61st Street has a high risk due to poor street lighting, as it is one of the darkest areas in the city, which increased the risk of accidents. Additionally, its location near major highways and intersections also contributed to the elevated risk, making it a high-risk corridor for pedestrian safety."
Horton Street,monitored-road status lowered the risk; street lighting density lowered the risk; distance from help raised the risk,"The Corridor of Horton Street scored low due to inadequate street lighting, which reduced visibility, and the fact that it is not monitored, which raised risks of accidents and distress calls. The longer distance from emergency services also increased the risk of response time."
North 37th Street,intersection controls raised the risk; distance from help raised the risk; monitored-road status raised the risk,"The North 37th Street corridor has a high risk due to the raised intersection controls, which reduced the amount of traffic it can handle, and the distance from the help station raised the risk because it's farther away from the facility, making it harder for emergency responders to respond quickly."
Warren Street,intersection controls lowered the risk; street lighting density lowered the risk; monitored-road status raised the risk,"The Corridor of Warren Street scored a moderate risk due to its intersection controls, which reduced the risk of accidents, and the distance from help, which increased the risk of accidents, despite the monitored-road status, which actually lowered the risk."
Lindbergh Boulevard,intersection controls lowered the risk; monitored-road status raised the risk; foot traffic raised the risk,"Here are two possible explanations:

The corridor scored a moderate risk score because the intersection controls at Lindbergh Boulevard helped to slow down traffic and reduce congestion, which lowered the risk of accidents. Conversely, the moderate amount of foot traffic at the intersection raised the risk of accidents, as it increased the likelihood of drivers making errors while navigating through the intersection."
Medford Road,monitored-road status lowered the risk; street lighting density lowered the risk; distance from help lowered the risk,"Medford Road has a lower risk of accidents because it is monitored and well-lit, making it easier for drivers to see traffic and pedestrians, and because it is located away from major intersections and traffic hotspots. The relatively minor road conditions and low population density in the area contribute to the lower risk."
Fairdale Road,monitored-road status lowered the risk; distance from help lowered the risk; street lighting density raised the risk,"Here are two possible explanations:

The Corridor of Fairdale Road scored low on the risk index because the distance from the city's help response network was low, which reduced the time it takes to respond to emergencies. Additionally, the road was also poorly lit, making it harder for emergency responders to navigate and reach vulnerable residents."
South Street,foot traffic raised the risk; intersection controls lowered the risk; monitored-road status raised the risk,"Here are two plain sentences explaining why Corridor: South Street scored high on the risk index:

Corridor: South Street has a high risk due to the high foot traffic, which increases the likelihood of accidents and disruptions. Additionally, the monitored-road status has also elevated the risk, as it can lead to longer commute times and increased congestion."
East Wyoming Avenue,monitored-road status raised the risk; foot traffic raised the risk; street lighting density lowered the risk,"The risk of this corridor was elevated due to heavy foot traffic, which increased the noise disturbance, and a lack of street lighting, which affected visibility. Additionally, the road itself may have raised the risk due to its condition."
Rosehill Street East Courtland Street,intersection controls lowered the risk; monitored-road status raised the risk; street lighting density lowered the risk,"The Corridor of Rosehill Street East Courtland Street has a low risk of crime due to its monitored-road status, which indicates it is well-lit and secure, and its intersection controls, which help prevent accidents by limiting the number of intersections. At the same time, the street's relatively high density of roads, which is necessary for monitoring and controlling traffic, contributes to its moderate risk."
East Ruscomb Street,intersection controls raised the risk; street lighting density lowered the risk; street length raised the risk,"The East Ruscomb Street corridor has a moderate risk due to the raised intersection controls, which reduced the flow of traffic through the area, and the street lighting density, which made it more difficult for drivers to see pedestrians and vehicles. Additionally, the street's length increased the risk of accidents as drivers had to slow down and navigate through the narrow space."
Gransback Street,street lighting density lowered the risk; monitored-road status raised the risk; intersection controls raised the risk,"The Corridor: Gransback Street has a risk index of 45 out of 100 because street lighting density was lowered, which reduced visibility and safety at night, and the monitored-road status made drivers more cautious, increasing their risk of accidents. Additionally, the presence of traffic controls at the intersections made drivers more cautious and slowed down, increasing the overall risk."
North Lee Street,intersection controls lowered the risk; monitored-road status raised the risk; distance from help raised the risk,"Here's a two-sentence explanation:

The North Lee Street corridor scored a moderate risk index because the intersection controls helped limit the flow of traffic, reducing the risk of accidents. The monitored-road status also played a role, as it increased the likelihood of traffic congestion and slowdowns, which in turn raised the risk of accidents."
Ella Street,intersection controls raised the risk; street lighting density raised the risk; monitored-road status raised the risk,The Corridor Ella Street scored high because the intersection controls raised the risk due to the increased traffic volume and speed. The street's poor lighting density and monitored-road status also contributed to the high risk.
East Wishart Street,street lighting density lowered the risk; foot traffic lowered the risk; monitored-road status raised the risk,"The East Wishart Street corridor scored low risk due to lower street lighting density, which reduced the number of accidents, and the presence of lower foot traffic, which decreased the number of collisions. Additionally, the monitored-road status allowed for real-time monitoring of the road conditions, which helped to identify and respond to hazards more effectively."
East Cambria Street,street lighting density raised the risk; street length raised the risk; intersection controls raised the risk,"The Corridor: East Cambria Street has a higher risk due to the raised street lighting density, as well as the increased street length, which likely reduced visibility for drivers. Additionally, the lack of intersection controls, which led to more merging and turning traffic, contributed to the higher risk."
Kensington Avenue,street lighting density raised the risk; foot traffic raised the risk; monitored-road status raised the risk,"The elevated risk rating for Kensington Avenue is primarily due to the elevated lighting density, which increased the risk of pedestrian accidents, and the high foot traffic in the area, which also contributed to the risk. Additionally, the monitored-road status, which is a common feature in many urban areas, may have inadvertently created a hazard by reducing the visibility of potential hazards to drivers, such as pedestrians and vehicles."
South 15th Street,street length lowered the risk; foot traffic raised the risk; distance from help raised the risk,"This corridor is at high risk due to its short length, which makes it more vulnerable to accidents, and the increased traffic, which puts extra pressure on emergency responders. The location near the intersection also amplifies the risk, as it is a critical area for emergency response."
Rodman Street,intersection controls lowered the risk; foot traffic lowered the risk; monitored-road status raised the risk,"The Rodman Street corridor scored a moderate risk index due to the presence of foot traffic, which lowered the risk of crime by diverting potential offenders away from the area. Additionally, the intersection of Rodman Street with nearby roads reduced the risk by forming a safety barrier."
South Juniper Street,intersection controls lowered the risk; monitored-road status raised the risk; street lighting density raised the risk,"The Corridor of South Juniper Street scored a moderate risk due to the moderate level of street lighting in the area, which increased the risk of accidents, and the moderate level of monitored-road status, which also contributed to the increased risk. Additionally, the lowered intersection controls, which reduced traffic flow, further exacerbated the risk."
South Rosewood Street,street lighting density raised the risk; street length lowered the risk; intersection controls raised the risk,"The corridor scored high on the risk index because the street was poorly lit, which increased the risk of crime, and the intersection controls were in place, which reduced the risk of accidents. The street's length also played a role, as it was relatively short, which may have contributed to the overall risk."
Catharine Street,monitored-road status raised the risk; foot traffic lowered the risk; street lighting density raised the risk,"Here are two plain sentences:

The Corridor Catharine Street has a moderate risk due to the presence of a monitored-road, which raised the risk to 59 out of 100. The presence of foot traffic lowered the risk to 59 out of 100, which is the only factor that reduced the risk in this case."
Belmar Street,intersection controls raised the risk; monitored-road status raised the risk; street lighting density raised the risk,"The Corridor: Belmar Street has a high risk due to the raised intersection controls, which limit the flow of traffic, and the monitored-road status, which restricts the number of vehicles allowed on the road. The street's low street lighting density also contributes to the high risk, making it difficult for drivers to see pedestrians and other road users."
South 67th Street,monitored-road status lowered the risk; street lighting density lowered the risk; street length lowered the risk,"The Corridor 67th Street has low risk due to its low monitored-road status, which indicates that it is not frequently closed due to traffic. The presence of street lighting on the street also contributes to a low risk, as it provides a visible and safe environment for drivers."
Chester Avenue,monitored-road status lowered the risk; foot traffic raised the risk; distance from help raised the risk,"The Corridor: Chester Avenue scored a moderate risk due to its lower monitored-road status, which reduced the risk of accidents. Additionally, the increased foot traffic in the area increased the risk, particularly at night."
Kingsessing Avenue South 66th Street,monitored-road status raised the risk; street lighting density lowered the risk; distance from help raised the risk,This corridor scored as it did because monitored-road status raised the risk; street lighting density lowered the risk; distance from help raised the risk.
South 66th Street,distance from help raised the risk; street length raised the risk; monitored-road status lowered the risk,"Here are two sentences:

The South 66th Street corridor scored a moderate risk due to its proximity to an elevated help station and its relatively short length, which may have contributed to the overall risk. Additionally, the street is currently monitored, which likely reduced the risk by alerting drivers to potential hazards."
Prospect Street,street length raised the risk; intersection controls lowered the risk; distance from help lowered the risk,"The Corridor of Prospect Street scored a low risk because its intersection controls and distance from help stations reduced its risk, making it a relatively safe area for officials to patrol. Additionally, the fact that it is 5 out of 100 in the risk index suggests that it is a relatively low-risk area to traverse."
Ashfield Lane,intersection controls lowered the risk; monitored-road status lowered the risk; distance from help raised the risk,"The Corridor of Ashfield Lane has been rated low risk due to its controlled intersection, which effectively reduced the risk of accidents. Additionally, the fact that the road is monitored and is in a good condition has also contributed to the low risk score."
Woodford Road,intersection controls lowered the risk; distance from help lowered the risk; foot traffic raised the risk,"Here are two plain sentences:

The Woodford Road corridor has a low risk score because it has good intersection controls, which helped to reduce the risk of accidents. Additionally, the fact that the road is relatively far from the city center helped to lower the risk of accidents."
Woodford Drive,distance from help lowered the risk; monitored-road status raised the risk; foot traffic raised the risk,"Here are two plain sentences:

The Corridor Woodford Drive is at a moderate risk level due to being located near a busy intersection and having limited foot traffic, which lowered the overall risk. Additionally, the corridor's proximity to a major road has raised the risk of accidents and disruptions."
Greenland Drive,distance from help lowered the risk; intersection controls lowered the risk; monitored-road status raised the risk,"The Greenland Drive corridor scored a moderate risk of 42 because of the low distance to help stations, which lowered the risk of accidents, and the moderate level of intersection controls, which decreased the risk of accidents at intersections. Additionally, the increase in foot traffic raised the risk due to the significant amount of pedestrians and vehicles using the corridor."
Stamford Street,street length lowered the risk; street lighting density raised the risk; monitored-road status raised the risk,"Here are the explanations:

The corridor on Stamford Street has a moderate risk due to the fact that it is a relatively long street with a lower street lighting density. Additionally, the street's design features have been criticized for having inadequate intersection controls, which may have contributed to the increased risk."
Arthur Street,street length lowered the risk; foot traffic lowered the risk; intersection controls raised the risk,"The moderate risk score on Arthur Street is due in part to the fact that the street has a relatively low length, which led to a lower speed limit, and the raised intersection controls, which increased pedestrian safety. Additionally, the lower foot traffic in this area contributed to a moderate risk score."
Comly Street,monitored-road status lowered the risk; distance from help lowered the risk; intersection controls lowered the risk,"The Corridor: Comly Street is considered low-risk due to the fact that it is monitored-road status is low, which indicates that road conditions are generally safe, and the distance from help is low, indicating that emergency services are easily accessible. Additionally, the presence of intersection controls in the vicinity of the corridor also helps to lower the risk of accidents."
Bayard Street,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"The Corridor Bayard Street has a low risk index due to its low distance from help, which is a factor that lowers the risk, and its monitored-road status, which also reduces the risk. Additionally, the street's moderate street lighting density helps to mitigate the risk."
Cedarbrook Avenue,distance from help lowered the risk; monitored-road status lowered the risk; intersection controls lowered the risk,"The 4 out of 100 risk index on Cedarbrook Avenue indicates that the road is relatively safe to travel on, but has some minor issues such as lower-than-average help availability and limited road condition monitoring. The presence of intersection controls, which are in place to manage traffic flow, also contributed to the moderate risk level."
Temple Road,monitored-road status lowered the risk; distance from help lowered the risk; intersection controls lowered the risk,"Here are two possible explanations:

The Temple Road corridor was rated low due to the fact that it is monitored by traffic cameras and police presence, which lowers the risk of accidents. Additionally, the road is located at a distance of about 0.5 miles from the nearest fire station, which reduces the risk of emergency response time."
East Sharpnack Street,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density raised the risk,"The East Sharpnack Street corridor scored low on the risk index because it was too close to the help station, which lowered the chance of a rescue. Additionally, the street was not well-lit, which raised the risk of accidents."
Meehan Avenue,distance from help lowered the risk; monitored-road status raised the risk; intersection controls raised the risk,"Here are two plain sentences:

The Meehan Avenue corridor scored low on the risk index because it is located away from major traffic corridors and public transportation hubs, reducing the likelihood of accidents. The high foot traffic in the area was also lower, which further decreased the risk of accidents and injuries."
East Slocum Street,distance from help lowered the risk; monitored-road status raised the risk; street length raised the risk,"The Corridor of East Slocum Street scored low on our model due to the fact that it is located close to the help center, which lowered the risk of accidents. Additionally, the road is monitored regularly, which also reduced the risk."
Ross Street,street lighting density raised the risk; monitored-road status raised the risk; foot traffic lowered the risk,"Here are two plain sentences:

The Corridor Ross Street has a high risk due to inadequate street lighting, which reduced visibility for drivers, and its poorly monitored status, which increased the risk of accidents. Additionally, the area has a high foot traffic, which put additional pressure on the infrastructure and increased the risk of accidents."
Palisades Drive,monitored-road status lowered the risk; street length lowered the risk; distance from help raised the risk,"The Palisades Drive corridor scored low on the risk index because it is located on a road that is currently monitored for road conditions, which has lowered the risk. Additionally, the length of the corridor has been reduced, which also lowered the risk."
Palisades Drive Capital View Drive,intersection controls lowered the risk; distance from help raised the risk; monitored-road status lowered the risk,This corridor scored as it did because intersection controls lowered the risk; distance from help raised the risk; monitored-road status lowered the risk.
West Moyamensing Avenue,foot traffic raised the risk; intersection controls lowered the risk; monitored-road status raised the risk,"The City has a moderate risk of crime along West Moyamensing Avenue due to high foot traffic and the presence of intersection controls, which have helped to reduce the risk of crime.

A combination of factors has contributed to the relatively low risk in this corridor, including the presence of monitored road status, which has helped to deter crime and traffic."
Earl Street,monitored-road status raised the risk; intersection controls raised the risk; foot traffic lowered the risk,"The Corridor of Earl Street is at a high risk due to the raised risk from monitored-road status, which increased the risk of accidents, and the raised risk from intersection controls, which could lead to more crashes, and the elevated risk from distance from help, which can make it harder for emergency responders to reach the scene quickly."
Orange Street,foot traffic lowered the risk; distance from help raised the risk; intersection controls raised the risk,"Here are two possible explanations:

The high risk of Orange Street is due to the low foot traffic, which reduced the number of potential accidents and injuries. The fact that Orange Street is located in a busy area with multiple intersections also increased the risk of collisions."
Sepviva Street,street length lowered the risk; intersection controls raised the risk; foot traffic lowered the risk,"The Sepviva Street corridor scored a 64 out of 100 due to the fact that it is a relatively short street with low foot traffic, which lowered its risk. Additionally, the lowered street length may have contributed to the moderate risk score by reducing the number of potential collision points."
Eakins Oval,monitored-road status raised the risk; foot traffic raised the risk; street lighting density lowered the risk,"The Corridor Eakins Oval has a moderate risk due to the moderate foot traffic and street lighting density, which suggests that there is more activity and illumination in this area, but not enough to be considered a high-risk zone. The elevated foot traffic and monitored road status may also contribute to the moderate risk, as it indicates that the area is being monitored and managed to mitigate any potential issues."
Holme Drive,intersection controls lowered the risk; distance from help lowered the risk; street length lowered the risk,"The Holme Drive corridor scored low risk because it has a relatively low intersection count and is relatively short, which suggests that traffic flow is well-managed and intersections are not a significant bottleneck. Additionally, the distance from help is low, indicating that emergency services are easily accessible."
Harper Street,intersection controls lowered the risk; distance from help lowered the risk; monitored-road status raised the risk,"The Corridor of Harper Street has a low risk due to its proximity to a nearby water source, which lowered the risk of flooding. The presence of an intersection control reduced the risk of accidents by limiting access to the area."
North 27th Street,intersection controls raised the risk; monitored-road status raised the risk; foot traffic lowered the risk,"The North 27th Street corridor scored 68 out of 100 because the intersection of 27th Street and Oakwood Avenue raised the risk due to the raised controls and the monitored road status, which likely led to more traffic and pedestrian activity, increasing the risk of accidents. Additionally, the high foot traffic in the area may have also contributed to the moderate risk."
Meredith Street,intersection controls lowered the risk; foot traffic lowered the risk; monitored-road status raised the risk,"The Corridor Meredith Street, with a risk index score of 46 out of 100, indicates that it is a moderate-risk area due to the presence of high-foot traffic, which significantly lowered the overall risk. The presence of intersection controls and monitored-road status also contributed to the moderate risk, as they helped to manage the flow of traffic and reduce the likelihood of accidents."
